הזמנה,תאריך,סטטוס הזמנה,מס. לקוח,שם לקוח,סוג מכירה,תאור סוג מכירה,מס' סוכן,שם סוכן,לטיפול,"מק""ט",ת. אספקה,מחיר מינימום,תאור מוצר,"מחירון בסיס ש""ח","מחיר בתעודה ש""ח",מחירון בסיס USD,מחיר בתעודה USD,מחירון בסיס,מחיר בתעודה,מטבע שורה,כמות,"סה""כ ב-ש""ח","סה""כ ב-USD","סה""כ במטבע הזמנה","סה""כ אחרי הנחה",מטבע הזמנה,יתרה לאספקה,תשלום מראש,סגורה?,פרויקט,תאור פרויקט,מספר פעילות (WBS),מספר פעילות,שם פעילות,סטטוס שורת הזמנה,כ.ארוזה/דווח פנימי,מהדורת מוצר,מהדורת עץ מוצר
SO25000005,1/2/2025,בבצוע,106304,מרכז רפואי קפלן,001,רכש לפרויקט,,,עירית בלילטי,30000250,1/2/2025,0.00,בורג אלן M12X65,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",4,,Y,PR24000070,מרכז רפואי קפלן-רחובות,,0,,,0,,
SO25000006,3/2/2025,מאושרת לבצוע,106151,בנק לאומי,001,רכש לפרויקט,,,אלכס גלפרין,17000324,3/2/2025,0.00,כבל CAT-6 חיצוני (OUTDOOR),0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",80,0.00,0.00,0.00,0.00,"ש""ח",80,,,PR24000094,בנק לאומי,,0,,,0,,
SO25000008,1/5/2025,בוצעה,106151,בנק לאומי,001,רכש לפרויקט,,,עירית בלילטי,22001289,1/5/2025,0.00,"220V,50HZ, Straight Boom, 6s, With 6 Meters RAL 9006 מחסום",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000094,בנק לאומי,,0,,,0,,
SO25000008,1/5/2025,בוצעה,106151,בנק לאומי,001,רכש לפרויקט,,,עירית בלילטי,34000166,1/5/2025,0.00,שק בטון מוכן התייבשות מהירה 25 ק''ג,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000094,בנק לאומי,,0,,,0,,
SO25000009,1/5/2025,מאושרת לבצוע,106288,"ג'י וואן טכנולוגיות מיגון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22001307,1/5/2025,0.00,"עמוד אנטי ונדלי למצלמת LPR גובה 50ס""מ כסף (RAL9006)",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",1,,,PR24000075,ארם רעננה,,0,,,0,,
SO25000010,1/5/2025,בוצעה,106230,"מולטיקו שער הסיטי בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22000022,1/5/2025,0.00,זרוע אלומיניום 80/40 6 מ',0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",1,,Y,PR24000052,"נ.אריאל-מולטיקו שער הסיטי-ת""א",,0,,,0,,
SO25000010,1/5/2025,בוצעה,106230,"מולטיקו שער הסיטי בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22001026,1/5/2025,0.00,LIGHT 3 R/G P120077 00001,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000052,"נ.אריאל-מולטיקו שער הסיטי-ת""א",,0,,,0,,
SO25000010,1/5/2025,בוצעה,106230,"מולטיקו שער הסיטי בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22000274,1/5/2025,0.00,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000052,"נ.אריאל-מולטיקו שער הסיטי-ת""א",,0,,,0,,
SO25000011,1/5/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000545,1/5/2025,0.00,S201PC40NA 15KA 1*40A+N ABB,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000011,1/5/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,16000022,1/5/2025,0.00,קופ' 150X110X70  410C5A,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000011,1/5/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000251,1/5/2025,0.00,"לוח עה""ט ל-8 מקומות",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000011,1/5/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,31000399,1/5/2025,0.00,פח גב לארון מנגנון דלת צד ימין כולל זוויות,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000011,1/5/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,13000022,1/5/2025,0.00,"ארון  2/470   (1226X1136X470)תא ח""ח צד ימין",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000013,1/5/2025,מאושרת לבצוע,106097,"אמות רונימור הברזל בע""מ",000,כללית,,,עירית בלילטי,000,1/5/2025,0.00,הפקת תעודה SSL לשנים 2024-2025 והתקנת התעודה,0.00,862.00,0.00,231.60,0.00,862.00,"ש""ח",1,862.00,231.60,862.00,862.00,"ש""ח",1,,,PR24000120,"נ.אריאל-בית זויאל-ת""א",,0,,,0,,
SO25000014,1/5/2025,בוצעה,106438,"שהאנז ייזום והשקעות בע""מ",001,רכש לפרויקט,,,עירית בלילטי,22001245,1/5/2025,0.00,PS LIGHT P120083,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR25000004,בית קארסו,,0,,,0,,
SO25000014,1/5/2025,בוצעה,106438,"שהאנז ייזום והשקעות בע""מ",001,רכש לפרויקט,,,עירית בלילטי,22001138,1/5/2025,0.00,KIT-PB BL-SMALL N3/5-XT5-SPEED P120043 00001,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR25000004,בית קארסו,,0,,,0,,
SO25000015,1/5/2025,בוצעה,106142,מכון ויצמן למדע,001,רכש לפרויקט,,,עירית בלילטי,22000913,1/5/2025,0.00,ענית תא פוטו מול רפלקטור IR 1200 L,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000090,מכון ויצמן למדע-רחובות,,0,,,0,,
SO25000015,1/5/2025,בוצעה,106142,מכון ויצמן למדע,001,רכש לפרויקט,,,עירית בלילטי,22000870,1/5/2025,0.00,"עמודון לחניון 4'' 70 ס""מ+פלטה RAL 9006",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000090,מכון ויצמן למדע-רחובות,,0,,,0,,
SO25000015,1/5/2025,בוצעה,106142,מכון ויצמן למדע,001,רכש לפרויקט,,,עירית בלילטי,30000188,1/5/2025,0.00,עוגן חץ מגולבן 110*M12,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000090,מכון ויצמן למדע-רחובות,,0,,,0,,
SO25000017,1/5/2025,בוצעה,106152,שרות בתי הסוהר,001,רכש לפרויקט,,,אלכס גלפרין,25000647,1/5/2025,0.00,מפסק גבול זרוע מתכווננת N.C/N.C. FT139J02,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000151,"שערים שב""ס",,0,,,0,,
SO25000018,1/5/2025,בוצעה,106134,משטרת ישראל,001,רכש לפרויקט,,,אלכס גלפרין,25000647,1/5/2025,0.00,מפסק גבול זרוע מתכווננת N.C/N.C. FT139J02,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000152,משטרת ישראל,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,14000034,1/5/2025,0.00,עמוד תנועה 4.4 מ' - סטנדר,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,A12000114,1/5/2025,0.00,פנס הולך רגל (1122309) LED 230V 2X200 - מתוקן,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",6,0.00,0.00,0.00,0.00,"ש""ח",6,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,A12000113,1/5/2025,0.00,פנס תנועה LED (1133301) 230V 3X300 - מתוקן,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",3,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,A12000115,1/5/2025,0.00,פנס מהבהב (1113313) LED 230V 1X300 - מתוקן,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",2,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,14000045,1/5/2025,0.00,"פקק פלסטי לעמוד ""4",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",10,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000021,1/5/2025,בוצעה,106363,שפיר הנדסה פרויקט הרכבת הקלה בי-ם,001,רכש לפרויקט,,,אלכס גלפרין,19001044,1/5/2025,0.00,"סמרטוטים מבד טריקו 10 ק""ג בווקום",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000145,שפיר - JNET,,0,,,0,,
SO25000022,1/5/2025,בוצעה,106020,עיריית תל אביב,001,רכש לפרויקט,,,אלכס גלפרין,11000119,1/5/2025,0.00,FN BASIC ASSY / E (230V)  9586 134 01150 (בקר),0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000142,עיריית תל אביב,,0,,,0,,
SO25000022,1/5/2025,בוצעה,106020,עיריית תל אביב,001,רכש לפרויקט,,,אלכס גלפרין,11000131,1/5/2025,0.00,מסך TFT 7'' MMI 4000 110 00110,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000142,עיריית תל אביב,,0,,,0,,
SO25000022,1/5/2025,בוצעה,106020,עיריית תל אביב,001,רכש לפרויקט,,,אלכס גלפרין,26001046,1/5/2025,0.00,כבל HDMI זכר זכר אורך 1 מטר,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000142,עיריית תל אביב,,0,,,0,,
SO25000024,1/6/2025,בוצעה,106152,שרות בתי הסוהר,001,רכש לפרויקט,,,אלכס גלפרין,19000483,1/6/2025,0.00,גלגל שער 80,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000151,"שערים שב""ס",,0,,,0,,
SO25000026,1/6/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,26000382,1/6/2025,0.00,AS400 CARD 12PIN,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000168,"נת""א - בת ים",,0,,,0,,
SO25000027,1/6/2025,בוצעה,106346,עיריית יבנה,001,רכש לפרויקט,,,אלכס גלפרין,19001119,1/6/2025,0.00,תרסיס נגד ג'וקים K300,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000136,עיריית יבנה,,0,,,0,,
SO25000028,1/6/2025,מבוטלת,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,יעל ביצ'ינסקי,33000195,1/6/2025,0.00,חץ כיוון עגול ליחידת רטט MATU101-112,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",10,0.00,0.00,0.00,0.00,"ש""ח",10,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000028,1/6/2025,מבוטלת,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,יעל ביצ'ינסקי,33000040,1/6/2025,0.00,"תקתקן אקוסטי 220V דגם ""מנורה""",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",5,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000028,1/6/2025,מבוטלת,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,יעל ביצ'ינסקי,33000179,1/6/2025,0.00,רמקול MATU101-105,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",10,0.00,0.00,0.00,0.00,"ש""ח",10,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000029,1/6/2025,מאושרת לבצוע,106134,משטרת ישראל,000,כללית,,,עירית בלילטי,000,1/6/2025,0.00,סף בטיחות- עקב נזק משטרת בית דגם כניסה ראשית,0.00,1800.00,0.00,483.61,0.00,1800.00,"ש""ח",1,1800.00,483.61,1800.00,1800.00,"ש""ח",1,,,PR24000152,משטרת ישראל,,0,,,0,,
SO25000029,1/6/2025,מאושרת לבצוע,106134,משטרת ישראל,000,כללית,,,עירית בלילטי,000,1/6/2025,0.00,שעות טכנאי,0.00,188.03,0.00,50.52,0.00,188.03,"ש""ח",2,376.06,101.04,376.06,376.06,"ש""ח",2,,,PR24000152,משטרת ישראל,,0,,,0,,
SO25000030,1/6/2025,בוצעה,106134,משטרת ישראל,001,רכש לפרויקט,,,אלכס גלפרין,22002538,1/6/2025,0.00,סף בטיחות V2 1.7 מ' ללא פיקוד,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000152,משטרת ישראל,,0,,,0,,
SO25000030,1/6/2025,בוצעה,106134,משטרת ישראל,001,רכש לפרויקט,,,אלכס גלפרין,22002539,1/6/2025,0.00,משדר לסף בטיחות V2,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000152,משטרת ישראל,,0,,,0,,
SO25000030,1/6/2025,בוצעה,106134,משטרת ישראל,001,רכש לפרויקט,,,אלכס גלפרין,22002540,1/6/2025,0.00,מקלט לסף בטיחות V2,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000152,משטרת ישראל,,0,,,0,,
SO25000031,1/6/2025,בוצעה,106438,"שהאנז ייזום והשקעות בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22002734,1/6/2025,0.00,אינטרקום IPParkcom IPPARKV3,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",2,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR25000004,בית קארסו,,0,,,0,,
SO25000033,1/6/2025,בוצעה,106152,שרות בתי הסוהר,001,רכש לפרויקט,,,אלכס גלפרין,19001047,1/6/2025,0.00,מנוע ת''פ לשער כבד 1.1kW כולל גיר מכסה ותושבת,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000151,"שערים שב""ס",,0,,,0,,
SO25000035,1/7/2025,בוצעה,106152,שרות בתי הסוהר,001,רכש לפרויקט,,,אלכס גלפרין,17000343,1/7/2025,0.00,כבל פיקוד ממוספר 7X1.5,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",20,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000151,"שערים שב""ס",,0,,,0,,
SO25000036,1/7/2025,בוצעה,106154,"נתיבי ישראל החברה הלאומית לתשתיות תחבורה בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,16000210,1/7/2025,0.00,קופסא D-24 ל 4 ח''א,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",1,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000165,"נת""י - רמזורים",,0,,,0,,
SO25000037,1/7/2025,בוצעה,106314,"רמות ווי ניהול משרדים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22000222,1/7/2025,0.00,"BL-SMALL 30 מק""ט 323101(זרוע 3 מ')",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000072,"עומר הנדסה-חניון בגין-ת""א",,0,,,0,,
SO25000037,1/7/2025,בוצעה,106314,"רמות ווי ניהול משרדים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22001026,1/7/2025,0.00,LIGHT 3 R/G P120077 00001,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000072,"עומר הנדסה-חניון בגין-ת""א",,0,,,0,,
SO25000037,1/7/2025,בוצעה,106314,"רמות ווי ניהול משרדים בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,22000274,1/7/2025,0.00,"Kit – gom 3 מק""ט P120053 00001(גומי למחסום)",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",4,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000072,"עומר הנדסה-חניון בגין-ת""א",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,16000239,1/7/2025,0.00,ארון UPS גדול DCWE-2  DW 391 00,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000418,1/7/2025,0.00,"לוח עה""ט ל-12 ח""א +גב ללא דלת",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25001209,1/7/2025,0.00,"ח""א   1X40A   6K(צ'ינט)",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25001120,1/7/2025,0.00,מפ''ז מחליף 1-0-2 2X40A על פס דין HAGGER,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000280,1/7/2025,0.00,"ח""א  20A  6K צ'ינט",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000011,1/7/2025,0.00,"ח""א   1X6A   6K(צ'ינט)",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000891,1/7/2025,0.00,טרמוסטט ללוח מ 0-60 מעלות,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000892,1/7/2025,0.00,מנורת סימון מודולרית ירוק,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,25000677,1/7/2025,0.00,"מהדק הארקה 6X10 ממ""ר",0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",10,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
SO25000038,1/7/2025,בוצעה,106132,"חברת נתיבי איילון בע""מ",001,רכש לפרויקט,,,אלכס גלפרין,31000407,1/7/2025,0.00,פח גב לארון DCWE-2,0.00,0.00,0.00,0.00,0.00,0.00,"ש""ח",5,0.00,0.00,0.00,0.00,"ש""ח",0,,Y,PR24000169,"נת""א - רמת גן",,0,,,0,,
