מס' ספק,שם ספק,הזמנה,תאריך,מק'ט,תאור מוצר,ת. אספקה,כמות,יח',מחיר סופי,מטבע,מחיר סופי בשקלים
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,תיקון כרטיס ראשי באל פסק TOP2 K-LONG,1/30/2025,3,יח',2070.00,"ש""ח",2070.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,תיקון כרטיס ראשי באל פסק TOP V PRO 2K,1/30/2025,4,יח',2760.00,"ש""ח",2760.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת מצברים+מאווררים באל פסק TOPV PRO2K,1/30/2025,1,יח',884.00,"ש""ח",884.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,החלפת מאוורר+תיקון כרטיס ראשי TOP V PRO 2K,1/30/2025,1,יח',790.00,"ש""ח",790.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,תיקון כרטיס ראשי וכרטיס פיקודי אל פסק A-2000,1/30/2025,3,יח',3483.00,"ש""ח",3483.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000128,1/30/2025,31000240,תיקון כרטיס ראשי וכרטיס פיקודי באל פסק TRL2000,1/30/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000159,1/28/2025,22001243,ספק כח PLANET POE-163 כולל כבל מתח,1/28/2025,2,יח',236.00,"ש""ח",236.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000167,1/28/2025,22001243,ספק כח PLANET POE-163 כולל כבל מתח,1/28/2025,2,יח',236.00,"ש""ח",236.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000195,1/31/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,1/31/2025,1,יח',1800.00,"ש""ח",1800.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000214,2/2/2025,25001354,ספק כח DRS-240-12,2/5/2025,1,יח',720.40,"ש""ח",720.40
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000214,2/2/2025,22002891,ספק כח PLANET IPOE-171-95W  כולל כבל מתח,2/5/2025,1,יח',891.50,"ש""ח",891.50
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000224,2/4/2025,22002891,ספק כח PLANET IPOE-171-95W  כולל כבל מתח,2/4/2025,1,יח',891.50,"ש""ח",891.50
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000239,2/9/2025,26000382,AS400 CARD 12PIN,2/9/2025,12,יח',5280.00,"ש""ח",5280.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000260,2/10/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,2/10/2025,1,יח',1800.00,"ש""ח",1800.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000260,2/10/2025,26000382,AS400 CARD 12PIN,2/10/2025,1,יח',440.00,"ש""ח",440.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000304,2/17/2025,26000450,ארון שרתים ADC-002-69125-15U,2/17/2025,2,יח',1275.55,"ש""ח",1275.55
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000309,2/17/2025,26000314,UPS top v 3000,2/17/2025,2,יח',4100.32,"ש""ח",4100.32
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000398,2/20/2025,25001103,מצבר 100AH 12MVR100,2/20/2025,4,יח',3360.00,"ש""ח",3360.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000438,2/24/2025,26000265,אל פסק AIN650,2/24/2025,1,יח',190.00,"ש""ח",190.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,26001119,ארון תקשורת ADG-SMK-6615 780X600X600,2/24/2025,1,יח',555.38,"ש""ח",555.38
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,25002561,פס 6 שקעי חשמל לארון תקשורת כןלל ח''א ADG-P6,2/24/2025,1,יח',120.00,"ש""ח",120.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,24000572,פאץ פאנל  PACH PANEL 1U 24 PORT) CAT-6A ADG- PP-24C6A,2/24/2025,1,יח',317.46,"ש""ח",317.46
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,26001120,אל פסק ADVICE AIN1500-3 UPS,2/24/2025,1,יח',520.00,"ש""ח",520.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,26001121,ראוטר ICR111WG,2/24/2025,1,יח',744.79,"ש""ח",744.79
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000442,2/24/2025,26001122,סוויץ' תעשייתי UIS8P2F240,2/24/2025,1,יח',837.89,"ש""ח",837.89
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת מפסק בקרת מאוורר+מאוורר באל פסק TRL2000 מסד 100015111,2/28/2025,1,יח',620.00,"ש""ח",620.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת כרטיס ראשי  ופיקוד באל פסק A2000 מסד 10041451501,2/28/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת כרטיס ראשי ופיקוד באל פסק A2000 מסד 10041141501,2/28/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת בקרת מאוורר ומאוורר באל פסק TOP3 K-LONG,2/28/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,תיקון כרטיס ראשי באל פסק TOP2 K-LONG,2/28/2025,3,יח',2070.00,"ש""ח",2070.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,תיקון כרטיס ראשי באל פסק TOP V PRO2K,2/28/2025,1,יח',690.00,"ש""ח",690.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,תיקון כרטיס ראשי באל פסק TOP 3 K-LONG,2/28/2025,2,יח',1380.00,"ש""ח",1380.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת בקרת מאוורר ומאוורר באל פסק TOP 2 K-LONG,2/28/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת כרטיס מסך ולחצן בקרת מאוררים ומאווררים באל פסק TOP V,2/28/2025,1,יח',690.00,"ש""ח",690.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,תיקון כרטיס ראשי באל פסק TOP V PRO 6-LONG חסר ברגים,2/28/2025,1,יח',1250.00,"ש""ח",1250.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000448,2/25/2025,16000036,החלפת בקרת מאוורר ומאוורר באל פסק TOP 3 K-LONG,2/28/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000471,2/26/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,2/26/2025,10,יח',18000.00,"ש""ח",18000.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000517,3/5/2025,16000274,ארון בקרה DIN 478/1250/3 כולל 4 פילטרים,3/5/2025,3,יח',61296.00,"ש""ח",61296.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000517,3/5/2025,16000275,פח גב שלם לארון 3/1250,3/5/2025,1,יח',10417.00,"ש""ח",10417.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000536,3/7/2025,25001354,ספק כח DRS-240-12,3/7/2025,90,יח',65070.00,"ש""ח",65070.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000554,3/10/2025,26000314,UPS top v 3000,3/10/2025,1,יח',2050.16,"ש""ח",2050.16
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000554,3/10/2025,25001103,מצבר 100AH 12MVR100,3/10/2025,6,יח',4920.00,"ש""ח",4920.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000554,3/10/2025,26000194,כרטיס רשת תקשורת פנימי SNMP ל TOP V,3/10/2025,1,יח',550.00,"ש""ח",550.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000569,3/12/2025,28000040,מצבר ליתיום 25.6V100AH BLF25.6V100P1,3/12/2025,1,יח',3100.00,"ש""ח",3100.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000601,3/16/2025,25001360,ממיר מתח NTS-450-224EU,3/16/2025,1,יח',466.69,"ש""ח",466.69
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000602,3/17/2025,22002889,ארון מהבהבים סולארי 500X400X200 CO-SOL-15W-30H,3/17/2025,2,יח',13448.00,"ש""ח",13448.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000602,3/17/2025,22002887,ארון מהבהבים חשמל קבוע 650X500X250 CO-DCB-15W-8H,3/17/2025,2,יח',8382.00,"ש""ח",8382.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000602,3/17/2025,22002886,ארון VPS חשמל קבוע 650X500X250 CO-DCB-A-60W-8H-AC,3/17/2025,1,יח',8660.00,"ש""ח",8660.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000602,3/17/2025,220028894,TRUI KAKY הפד 650X500X250 CO-SOL-A-60W-30H-AC,3/17/2025,1,יח',7159.00,"ש""ח",7159.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000653,3/23/2025,22001243,ספק כח PLANET POE-163 כולל כבל מתח,3/23/2025,4,יח',472.00,"ש""ח",472.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000683,3/25/2025,26000314,UPS top v 3000,3/25/2025,1,יח',2050.16,"ש""ח",2050.16
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000683,3/25/2025,26000314,UPS top v 3000,3/25/2025,1,יח',2050.16,"ש""ח",2050.16
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000729,4/1/2025,28000045,מצבר WP2550 25.6V 50Ah-spec,4/1/2025,10,יח',18404.10,"ש""ח",18404.10
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000729,4/1/2025,28000040,מצבר ליתיום 25.6V100AH BLF25.6V100P1,4/1/2025,5,יח',15950.22,"ש""ח",15950.22
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000744,4/3/2025,16000036,החלפת ספק פנימי במערכת MB-2440-150L+MB2440 מסד 13012,4/10/2025,1,יח',390.00,"ש""ח",390.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000880,4/20/2025,28000033,מצבר 12MVR65 65 AH,4/20/2025,10,יח',5770.00,"ש""ח",5770.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000881,4/20/2025,22001243,ספק כח PLANET POE-163 כולל כבל מתח,4/20/2025,3,יח',354.00,"ש""ח",354.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת מפסק נועם באל פסק A-2000 AC - מסד 10011571804,5/2/2025,1,יח',450.00,"ש""ח",450.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת מפסק נועם באל פסק A-2000 AC - מסד 10027281908,5/2/2025,1,יח',450.00,"ש""ח",450.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאוורר+מאוורר ותיקון כרטיס באל פסק TOP3K-LONG,5/2/2025,1,יח',890.00,"ש""ח",890.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאוורר+מאוורר וכרטיס מסך באל פסק TOP3 K-LONG,5/2/2025,1,יח',470.00,"ש""ח",470.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאורר+מאוורר ותיקון כרטיס באל פסק TOP VPRO2K,5/2/2025,1,יח',890.00,"ש""ח",890.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאורר+מאוורר באל פסק TOP3 K-LONG,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,תיקון בקרת מאוורר באל פסק TOP 3 K-LONG,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאורר+מאוורר וכרטיס באל פסק A-2000,5/2/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאורר+מאוורר באל פסק TOP3 K-LONG,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,בקרת מאווררים+ מאווררים החלפת 6 מצברים ו 7 TOP VPRO 3KA,5/2/2025,1,יח',1226.00,"ש""ח",1226.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת 6 מצברים 7 באל פסק AON3000-2A,5/2/2025,1,יח',1026.00,"ש""ח",1026.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת כרטיס ראשי ופיקוד באל פסק A-2000,5/2/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,ביצוע שינוי כרטיס ראשי ופיקוד באל פסק,5/2/2025,1,יח',220.00,"ש""ח",220.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת כרטיס ראשי פיקוד ומפסק באל פסק AC-A-2000,5/2/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,תיקון בקרת מאוורר באל פסק A-2000,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת כרטיס ראשי פיקוד ובקרת מאוורר+מאוור A-2000 באל פסק,5/2/2025,1,יח',1161.00,"ש""ח",1161.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאוורר+מאוורר ותיקון כרטיס באל פסק TOPVPRO2K,5/2/2025,2,יח',1780.00,"ש""ח",1780.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,תיקון כרטיס באל פסק TOP 2 K-LONG,5/2/2025,1,יח',690.00,"ש""ח",690.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת כרטיס פיקוד תצוגה ופנל מקשים באל פסק TOPV PRO2K,5/2/2025,1,יח',890.00,"ש""ח",890.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאוורר+מאוורר באל פסק TOPV  PRO2K,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,החלפת בקרת מאוורר+מאוורר באל פסק TOP 3 K-LONG,5/2/2025,1,יח',225.00,"ש""ח",225.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25000977,5/2/2025,16000036,תיקון כרטיס מטען החלפת פנל לחצנים באל פסק PRO 6LONGV,5/2/2025,1,יח',1250.00,"ש""ח",1250.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001079,5/13/2025,28000048,מצבר ליתיום 25.6V30AH BLF25.6V30P1,5/13/2025,2,יח',2765.10,"ש""ח",2765.10
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001098,5/17/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2,5/17/2025,2,יח',3600.00,"ש""ח",3600.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001142,5/20/2025,28000033,מצבר 12MVR65 65 AH,5/20/2025,24,יח',13848.00,"ש""ח",13848.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001166,5/23/2025,26000382,AS400 CARD 12PIN,5/23/2025,2,יח',880.00,"ש""ח",880.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001166,5/23/2025,26000314,UPS top v 3000 ללא סולות פנימיות,5/23/2025,2,יח',4100.32,"ש""ח",4100.32
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001166,5/23/2025,26000382,AS400 CARD 12PIN,5/23/2025,1,יח',440.00,"ש""ח",440.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001184,5/25/2025,26001155,ספק כח POE ADV-IN-INJ9012V-18,5/29/2025,50,יח',34453.69,"ש""ח",34453.69
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001210,5/27/2025,26000142,אל פסק A2000,5/27/2025,2,יח',7900.00,"ש""ח",7900.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001210,5/27/2025,26000767,מערכת אל פסק TOP V PRO 6K UPS כולל 16 מצברים 65 AH,5/27/2025,1,יח',12850.00,"ש""ח",12850.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001236,5/28/2025,220028894,TRUI KAKY הפד 650X500X250 CO-SOL-A-60W-30H-AC,5/28/2025,8,יח',57272.00,"ש""ח",57272.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001237,5/28/2025,16000274,ארון בקרה DIN 478/1250/3 כולל 4 פילטרים,5/28/2025,8,יח',163456.00,"ש""ח",163456.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001257,5/29/2025,26000156,UPS ONLINE MODEL TOP VA1000 )AON-1000(,5/29/2025,1,יח',800.00,"ש""ח",800.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001257,5/29/2025,26000382,AS400 CARD 12PIN,5/29/2025,1,יח',440.00,"ש""ח",440.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001262,5/29/2025,26000382,AS400 CARD 12PIN,5/29/2025,9,יח',3960.00,"ש""ח",3960.00
2030056,"אדוויס אלקטרוניקה בע""מ",PO25001262,5/29/2025,25000953,אל פסק( UPS TOP 2000 (AON2000-2 ללא מצברים פנימיים,5/29/2025,9,יח',16200.00,"ש""ח",16200.00
2030062,"אלגותים בע""מ",PO25000770,4/7/2025,22002585,כובע אלומיניום BLG-02,4/7/2025,3,יח',4560.00,"ש""ח",4560.00
2030062,"אלגותים בע""מ",PO25000770,4/7/2025,22002584,כובע נירוסטה אורך 65.5 -02BLG תאורת לד לעמוד,4/7/2025,3,יח',1050.00,"ש""ח",1050.00
2030062,"אלגותים בע""מ",PO25000770,4/7/2025,22002586,טבעת פוליקארבונט לפיזור תאורת לד לכובע אלומיניום,4/7/2025,3,יח',495.00,"ש""ח",495.00
2030071,"ארכה בע""מ",PO25000038,1/8/2025,25001348,ממסר גנרטור MCE-4 3P,1/12/2025,1,יח',492.32,"ש""ח",492.32
2030071,"ארכה בע""מ",PO25000067,1/14/2025,17000015,כבל פנדל 3X0.75,1/14/2025,100,יח',149.00,"ש""ח",149.00
2030071,"ארכה בע""מ",PO25000073,1/15/2025,17000069,כבל 3X10 XLPE,1/15/2025,1000,יח',14510.00,"ש""ח",14510.00
2030071,"ארכה בע""מ",PO25000092,1/19/2025,17000100,חוט חשמל 6.0 ממ''ר חום גמיש,1/19/2025,100,יח',263.00,"ש""ח",263.00
2030071,"ארכה בע""מ",PO25000092,1/19/2025,17000109,חוט חשמל 6.0 ממ''ר כחול גמיש,1/19/2025,100,יח',263.00,"ש""ח",263.00
2030071,"ארכה בע""מ",PO25000110,1/22/2025,17000042,כבל הארקה 10 מ''מ צ/י קשיח (בתוף 500 מ'),1/22/2025,2000,יח',8680.00,"ש""ח",8680.00
2030071,"ארכה בע""מ",PO25000173,1/28/2025,17000342,כבל XLPE  3X6,1/28/2025,500,יח',4285.00,"ש""ח",4285.00
2030071,"ארכה בע""מ",PO25000192,1/31/2025,34000014,"צינור שרשורי  ""2  שחור",1/31/2025,500,יח',1220.00,"ש""ח",1220.00
2030071,"ארכה בע""מ",PO25000199,1/31/2025,17000079,כבל הארקה 25 ממ' צ/' קשיח (בתוף 500 מ'),1/31/2025,500,יח',5380.00,"ש""ח",5380.00
2030071,"ארכה בע""מ",PO25000220,2/4/2025,19000307,תעלה מחורצת  25X60,2/4/2025,20,יח',157.40,"ש""ח",157.40
2030071,"ארכה בע""מ",PO25000254,2/10/2025,16000036,חוץ התראות ה. מחיר 1464 לשיפוץ מבנה יבנה,2/10/2025,1,יח',368.48,"ש""ח",368.48
2030071,"ארכה בע""מ",PO25000256,2/10/2025,16000036,ציוד כללי לפי ת.משלוח 158 נאסף תמיר כיסוי,2/10/2025,1,יח',1932.26,"ש""ח",1932.26
2030071,"ארכה בע""מ",PO25000256,2/10/2025,16000036,ציוד כללי לפי ת.משלוח 7400 נלקח תמיר כיסוי שיפוץ מבנה,2/10/2025,1,יח',3023.23,"ש""ח",3023.23
2030071,"ארכה בע""מ",PO25000256,2/10/2025,16000036,ציוד כללי לפי ת.משלוח 1004 כיסוי שיפוץ מבנה יבנה,2/10/2025,1,יח',2216.13,"ש""ח",2216.13
2030071,"ארכה בע""מ",PO25000316,2/17/2025,19000307,תעלה מחורצת  25X60,2/17/2025,90,יח',719.10,"ש""ח",719.10
2030071,"ארכה בע""מ",PO25000339,2/18/2025,17000079,כבל הארקה 25 ממ' צ/' קשיח (בתוף 500 מ'),2/18/2025,1000,יח',11050.00,"ש""ח",11050.00
2030071,"ארכה בע""מ",PO25000359,2/18/2025,34000157,"צינור שרשורי  ""3 שחור",2/18/2025,500,יח',1700.00,"ש""ח",1700.00
2030071,"ארכה בע""מ",PO25000402,2/20/2025,17000079,כבל הארקה 25 ממ' צ/' קשיח (בתוף 500 מ'),2/20/2025,1000,יח',10760.00,"ש""ח",10760.00
2030071,"ארכה בע""מ",PO25000406,2/20/2025,31000176,"כבל פלדה למתיחה 4 מ""מ",2/20/2025,700,יח',672.00,"ש""ח",672.00
2030071,"ארכה בע""מ",PO25000406,2/20/2025,31000177,"נועל כבל פלדה  6 מ""מ",2/20/2025,100,יח',49.00,"ש""ח",49.00
2030071,"ארכה בע""מ",PO25000459,2/25/2025,17000042,כבל הארקה 10 מ''מ צ/י קשיח (בתוף 500 מ'),2/25/2025,2000,יח',8780.00,"ש""ח",8780.00
2030071,"ארכה בע""מ",PO25000463,2/26/2025,34000157,"צינור שרשורי  ""3 שחור",2/26/2025,500,יח',1700.00,"ש""ח",1700.00
2030071,"ארכה בע""מ",PO25000467,2/26/2025,25001001,ממסר פחת 30MA  40A ABB חד פזי,2/26/2025,30,יח',3483.00,"ש""ח",3483.00
2030071,"ארכה בע""מ",PO25000467,2/26/2025,25001076,"ממ""ט  ABB S201M C10 1X10A",2/26/2025,90,יח',1755.00,"ש""ח",1755.00
2030071,"ארכה בע""מ",PO25000467,2/26/2025,25001001,ממסר פחת 30MA  40A ABB חד פזי,2/26/2025,25,יח',2902.50,"ש""ח",2902.50
