תאריך,מק'ט,תאור מוצר,כמות,יח',כמות מפעל,יח' מפעל,תעודה,סוג תעודה,למחסן,איתור,הזמנה,מס' ספק,שם ספק
1/6/2025,20000949,מברג שטוח 4.5 מ''מ מבודד,3,יח',3,יח',GR25000042,קבלות סחורה מספק,Main,0,PO24000829,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/6/2025,20000968,מפוח חשמלי נטען כולל סוללה ומטען,1,יח',1,יח',GR25000041,קבלות סחורה מספק,Main,0,PO24000795,2030526,חגי ירון
1/6/2025,34000113,בריכת הארקה קומפלט פלסטי כולל מכסה,7,יח',7,יח',GR25000043,קבלות סחורה מספק,Main,0,PO24000809,2030420,"נ.חן חשמל בע""מ"
1/7/2025,20000224,מקוש+ידית עץ,2,יח',2,יח',GR25000045,קבלות סחורה מספק,Main,0,PO24000830,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/7/2025,20000515,פטיש חציבה HM 1100,1,יח',1,יח',GR25000045,קבלות סחורה מספק,Main,0,PO24000830,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/7/2025,20000646,את חפירה+ידית AS,4,יח',4,יח',GR25000044,קבלות סחורה מספק,Main,0,PO24000831,2030503,"רז צ.צ טכני 2003 בע""מ"
1/7/2025,20000825,"סטלבנד 100מ '/6מ""מ +כננת",2,יח',2,יח',GR25000045,קבלות סחורה מספק,Main,0,PO24000830,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/7/2025,20000978,דיסק יהלום 4.5 '',4,יח',4,יח',GR25000044,קבלות סחורה מספק,Main,0,PO24000831,2030503,"רז צ.צ טכני 2003 בע""מ"
1/7/2025,20000984,משחזת זווית נטענת מקיטה  4.1/2,2,יח',2,יח',GR25000044,קבלות סחורה מספק,Main,0,PO24000831,2030503,"רז צ.צ טכני 2003 בע""מ"
1/7/2025,31000172,"מטאטא המבריק כביש 30 ס""מ סיב קצר",2,יח',2,יח',GR25000045,קבלות סחורה מספק,Main,0,PO24000830,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/8/2025,17000343,כבל פיקוד ממוספר 7X1.5,20,יח',20,יח',GR25000049,קבלות סחורה מספק,Main,0,PO25000033,2030393,"חשמל ישיר חולון בע""מ"
1/8/2025,28000037,מצבר PLH62FT 12V62AH,48,יח',48,יח',GR25000048,קבלות סחורה מספק,Main,0,PO24000526,2030111,"מפעלי ע.שנפ ושות' בע""מ"
1/9/2025,25000011,"ח""א   1X6A   6K(צ'ינט)",12,יח',12,יח',GR25000052,קבלות סחורה מספק,Main,0,PO24000799,2030420,"נ.חן חשמל בע""מ"
1/14/2025,33000028,מנעול חצי צלינדר אחיד מתכוונן GELEM 40 מ''מ דלת ראשית מס' 1,50,יח',50,יח',GR25000054,קבלות סחורה מספק,Main,0,PO25000007,2030433,"עמישי חברה לשיווק(1980)בע""מ"
1/14/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",12,יח',12,יח',GR25000056,קבלות סחורה מספק,Main,0,PO25000037,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/14/2025,33000040,"תקתקן אקוסטי 220V דגם ""מנורה""",60,יח',60,יח',GR25000055,קבלות סחורה מספק,Main,0,PO25000037,2030226,"שיכון ובינוי סולל בונה-מנורה מערכות בע""מ"
1/15/2025,22002531,WALL MOUNT BRACKET white PAL9005 SAND MIC-WMB-WD,2,יח',2,יח',GR25000059,קבלות סחורה מספק,Main,0,PO24000691,2030362,"לדיקו בע""מ"
1/15/2025,22002532,POLE MOUNT BRACKET MIC-PMB,2,יח',2,יח',GR25000059,קבלות סחורה מספק,Main,0,PO24000691,2030362,"לדיקו בע""מ"
1/15/2025,22002533,SHALLOW CONDUIT ADAPTER RAL9005 MIC-SCA-WD,2,יח',2,יח',GR25000059,קבלות סחורה מספק,Main,0,PO24000691,2030362,"לדיקו בע""מ"
1/15/2025,31000143,פח סגירה לתא כבלים עליון (צר),40,יח',40,יח',GR25000058,קבלות סחורה מספק,Main,0,PO24000702,2030692,"שי-בר מתכות בע""מ"
1/15/2025,31000144,פח סגירה לתא כבלים תחתון (רחב),20,יח',20,יח',GR25000058,קבלות סחורה מספק,Main,0,PO24000702,2030692,"שי-בר מתכות בע""מ"
1/16/2025,24000612,LEDTRONICS L200CWR851,1000,יח',1000,יח',GR25000060,קבלות סחורה מספק,Main,0,,2030249,"ספיד רכיבים בע""מ"
1/19/2025,12000035,חץ לעדשה ירוקה פנס תנועה פולני SP03017,100,יח',100,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000433,2030171,Traffic equipment z.o.o. poland
1/19/2025,12000081,עדשה דמות אופניים לפנס ה.ר. פולני SP02019,100,יח',100,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000433,2030171,Traffic equipment z.o.o. poland
1/19/2025,12000113,פנס תנועה LED (1133301) 230V 3X300,170,יח',170,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000433,2030171,Traffic equipment z.o.o. poland
1/19/2025,12000114,פנס הולך רגל (1122309) LED 230V 2X200,220,יח',220,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000433,2030171,Traffic equipment z.o.o. poland
1/19/2025,12000115,פנס מהבהב (1113313) LED 230V 1X300,30,יח',30,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000564,2030171,Traffic equipment z.o.o. poland
1/19/2025,12000115,פנס מהבהב (1113313) LED 230V 1X300,60,יח',60,יח',GR25000063,קבלות סחורה מספק,Main,0,PO24000564,2030171,Traffic equipment z.o.o. poland
1/19/2025,13000005,(שלט ללחצן ה.רגל א44-(חד צדדי,50,יח',50,יח',GR25000066,קבלות סחורה מספק,Main,0,PO24000785,2030464,כץ שלום יוסף-קארן הדפסות
1/19/2025,13000019,שלט ללחצן ה.רגל א44-(דו צדדי),50,יח',50,יח',GR25000066,קבלות סחורה מספק,Main,0,PO24000785,2030464,כץ שלום יוסף-קארן הדפסות
1/19/2025,17000015,כבל פנדל 3X0.75,100,יח',100,יח',GR25000064,קבלות סחורה מספק,Main,0,PO25000067,2030071,"ארכה בע""מ"
1/19/2025,19000195,סופר 7 אוטם,24,יח',24,יח',GR25000071,קבלות סחורה מספק,Main,0,PO25000044,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/19/2025,19001044,"סמרטוטים מבד טריקו 10 ק""ג בווקום",5,יח',5,יח',GR25000070,קבלות סחורה מספק,Main,0,PO25000030,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/19/2025,19001044,"סמרטוטים מבד טריקו 10 ק""ג בווקום",7,יח',7,יח',GR25000069,קבלות סחורה מספק,Main,0,PO25000034,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/19/2025,22001355,6ES7513-1AL02-0AB0,1,יח',1,יח',GR25000072,קבלות סחורה מספק,Main,0,PO25000053,2030877,"סימנס בע""מ"
1/19/2025,22001359,6ES7521-1BH00-0AB0,2,יח',2,יח',GR25000072,קבלות סחורה מספק,Main,0,PO25000053,2030877,"סימנס בע""מ"
1/19/2025,22001360,6ES7592-1AM00-0XB0,2,יח',2,יח',GR25000072,קבלות סחורה מספק,Main,0,PO25000053,2030877,"סימנס בע""מ"
1/19/2025,25000366,מהדק 2 קומות RKD4,195,יח',195,יח',GR25000074,קבלות סחורה מספק,Main,0,PO25000068,2030304,"תפוז חשמל אלקטרוניקה ובקרה בע""מ"
1/19/2025,25001037,סופית חוט נלחצת שחורה+בידוד 1.5-8 E (שקית 100 יח'),5,יח',5,יח',GR25000074,קבלות סחורה מספק,Main,0,PO25000068,2030304,"תפוז חשמל אלקטרוניקה ובקרה בע""מ"
1/19/2025,25001037,סופית חוט נלחצת שחורה+בידוד 1.5-8 E (שקית 100 יח'),20,יח',20,יח',GR25000073,קבלות סחורה מספק,Main,0,PO25000069,2030304,"תפוז חשמל אלקטרוניקה ובקרה בע""מ"
1/19/2025,26000377,מאוורר 12X12 12VAC,10,יח',10,יח',GR25000075,קבלות סחורה מספק,Main,0,PO24000806,2030190,אדי פתרונות
1/19/2025,30000132,בורג משושה M10X16,500,יח',500,יח',GR25000061,קבלות סחורה מספק,Main,0,PO24000808,2030337,"טכנו-בורג בע""מ"
1/19/2025,30000250,בורג אלן M12X65,50,יח',50,יח',GR25000065,קבלות סחורה מספק,Main,0,PO25000047,2030337,"טכנו-בורג בע""מ"
1/19/2025,30000289,אום ניילוק M-12,50,יח',50,יח',GR25000062,קבלות סחורה מספק,Main,0,PO25000048,2030337,"טכנו-בורג בע""מ"
1/19/2025,31000146,"גלגל עגלה ""3 אוקולון כולל מעצור",1,יח',1,יח',GR25000068,קבלות סחורה מספק,Main,0,PO24000801,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/21/2025,19000014,"סרט בידוד 19 מ""מ צבע שחור",20,יח',20,יח',GR25000081,קבלות סחורה מספק,Main,0,PO25000089,2030276,"ציוד מוצרי חשמל לתעשיה אשקלון (1979) בע""מ"
1/21/2025,19000018,"סרט בידוד 19 מ""מ צבע חום",30,יח',30,יח',GR25000081,קבלות סחורה מספק,Main,0,PO25000089,2030276,"ציוד מוצרי חשמל לתעשיה אשקלון (1979) בע""מ"
1/21/2025,19000023,סרט בידוד צהוב ירוק 19 מ''מ,10,יח',10,יח',GR25000081,קבלות סחורה מספק,Main,0,PO25000089,2030276,"ציוד מוצרי חשמל לתעשיה אשקלון (1979) בע""מ"
1/21/2025,19000381,צינור שרשורי 22 ממ' לבן,120,יח',120,יח',GR25000082,קבלות סחורה מספק,Main,0,PO25000102,2030420,"נ.חן חשמל בע""מ"
1/21/2025,22000050,שלט  PP V  מרובע פניקס (4 לחצנים),10,יח',10,יח',GR25000078,קבלות סחורה מספק,Main,0,PO24000820,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22000140,מקלט כפול WALLY 2,2,יח',2,יח',GR25000078,קבלות סחורה מספק,Main,0,PO24000820,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22002538,סף בטיחות V2 1.7 מ' ללא פיקוד,1,יח',1,יח',GR25000077,קבלות סחורה מספק,Main,0,PO25000027,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22002539,משדר לסף בטיחות V2,1,יח',1,יח',GR25000077,קבלות סחורה מספק,Main,0,PO25000027,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22002540,מקלט לסף בטיחות V2,1,יח',1,יח',GR25000077,קבלות סחורה מספק,Main,0,PO25000027,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22002675,מערכת פתיחה סללולרית אדומה סמארט גייט 4G ללא הגבלת משתמשים,2,יח',2,יח',GR25000079,קבלות סחורה מספק,Main,0,PO24000820,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,22002675,מערכת פתיחה סללולרית אדומה סמארט גייט 4G ללא הגבלת משתמשים,5,יח',5,יח',GR25000080,קבלות סחורה מספק,Main,0,PO24000819,2030250,"עופר שערים אוטומטיים בע""מ"
1/21/2025,26001096,מדפסת מדבקות פי טאצ' BROTHER 110,1,יח',1,יח',GR25000076,קבלות סחורה מספק,P150,0,PO25000016,2030526,חגי ירון
1/21/2025,26001104,ראוטר תעשייתי RUTX50,2,יח',2,יח',GR25000084,קבלות סחורה מספק,Main,0,PO25000017,2030555,"בנדא מגנטיק בע""מ"
1/22/2025,19000186,שמן הידראולי DL SPIN 68,1,יח',1,יח',GR25000086,קבלות סחורה מספק,Main,0,PO25000103,2030250,"עופר שערים אוטומטיים בע""מ"
1/22/2025,22001362,קיט מנוע כנף דגם BT50,1,יח',1,יח',GR25000087,קבלות סחורה מספק,Main,0,PO25000065,2030677,"דורון שערים בע""מ"
1/22/2025,34000166,שק בטון מוכן התייבשות מהירה 25 ק''ג,288,יח',288,יח',GR25000085,קבלות סחורה מספק,Main,0,PO25000083,2030392,"בטון עטרות בע""מ"
1/23/2025,14000041,"חבק לעמוד ""4 - אורך 500 מ""מ דגל",200,יח',200,יח',GR25000089,קבלות סחורה מספק,Main,0,PO25000076,2030301,"שיר פלסט בע""מ"
1/23/2025,17000069,כבל 3X10 XLPE,0,יח',0,יח',GR25000091,קבלות סחורה מספק,Main,0,PO24000092,2030071,"ארכה בע""מ"
1/23/2025,17000100,חוט חשמל 6.0 ממ''ר חום גמיש,100,יח',100,יח',GR25000092,קבלות סחורה מספק,Main,0,PO25000092,2030071,"ארכה בע""מ"
1/23/2025,17000109,חוט חשמל 6.0 ממ''ר כחול גמיש,100,יח',100,יח',GR25000092,קבלות סחורה מספק,Main,0,PO25000092,2030071,"ארכה בע""מ"
1/23/2025,19000034,סיליקון שקוף RTV-בטייוב,24,יח',24,יח',GR25000103,קבלות סחורה מספק,Main,0,PO24000764,2030526,חגי ירון
1/23/2025,19000034,סיליקון שקוף RTV-בטייוב,24,יח',24,יח',GR25000104,קבלות סחורה מספק,Main,0,PO24000749,2030526,חגי ירון
1/23/2025,19000134,קצף פוליאוריטן,48,יח',48,יח',GR25000098,קבלות סחורה מספק,Main,0,PO24000792,2030526,חגי ירון
1/23/2025,19000134,קצף פוליאוריטן,60,יח',60,יח',GR25000105,קבלות סחורה מספק,Main,0,PO25000045,2030526,חגי ירון
1/23/2025,19000332,ביט איסכורית ארוך,11,יח',11,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,19000388,ניילון נצמד 50 סמ',48,יח',48,יח',GR25000100,קבלות סחורה מספק,Main,0,PO25000096,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/23/2025,19001119,תרסיס נגד ג'וקים K300,24,יח',24,יח',GR25000095,קבלות סחורה מספק,Main,0,PO25000042,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/23/2025,19001147,מולטי בנד 5 מטר נירוסטה + ברגים לסגירה,4,יח',4,יח',GR25000094,קבלות סחורה מספק,Main,0,PO25000078,2030325,"קמחי כלי עבודה (1994) בע""מ"
1/23/2025,20000023,"10"" מפתח שבדי",1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000028,פטיש 1000 גרם,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000037,"פלייר מבודד ""7 סיגנט",1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000054,פלייר פטנט R10,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000058,"סט מפתחות אלן אינצ'י אולר ""3/32 - ""3/8",1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000060,אקדח הזרקה לשפופרות -RTV,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000071,להב לסכין יפני רחב  OLFA,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000081,מפתח T בוקסה 14 מ''מ,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000116,"פלייר שפיץ ""6 מבודד סיגנט",1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000154,מקדח מדורג 4-30 לאימפקט,1,יח',1,יח',GR25000106,קבלות סחורה מספק,Main,0,PO25000100,2030526,חגי ירון
1/23/2025,20000155,מקלף צד ג'וגר,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000183,מפתח לתא שוטר,40,יח',40,יח',GR25000097,קבלות סחורה מספק,Main,0,PO25000108,2030433,"עמישי חברה לשיווק(1980)בע""מ"
1/23/2025,20000184,ארגז כלים 19'' משולב פלסטיק/נירוסטה JF-3,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000185,סט מברג מבודד,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000293,סט בוקסות 3/8 ממ' (אריזת פח),1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000306,מפתח T בוקסה 11 מ''מ,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000400,סכין יפני OLFA,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000429,"מפתח T בוקסה 13 מ""מ",1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000460,סט ביטים כולל מחזיק,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000494,קטר תוכי מבודד 1000V SIGNET,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000495,סט מפתחות פ/ר 8-24,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000506,פנס ראש,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000518,משקפי מגן פולי קרבונט,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000561,פלס מיים 30 סמ' מגנטי,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
1/23/2025,20000563,מפתח T בוקסה 10 מ''מ,1,יח',1,יח',GR25000096,קבלות סחורה מספק,Main,0,PO25000018,2030526,חגי ירון
